Price,Close,High,Low,Open,Volume
Ticker,AAPL,AAPL,AAPL,AAPL,AAPL
Date,,,,,
2017-01-03,26.796833038330078,26.838360701363033,26.476147880530135,26.716085293590673,115127600
2017-01-04,26.766849517822266,26.879898161831278,26.704558880652975,26.72762942182051,84472400
2017-01-05,26.9029598236084,26.960637037575456,26.718392034846257,26.743770149805272,88774400
2017-01-06,27.202880859375,27.26055807083818,26.870659558093067,26.942178737053393,127007600
2017-01-09,27.452051162719727,27.553563640659554,27.209807876957683,27.21211369860599,134247600
2017-01-10,27.4797306060791,27.542021219612735,27.292857005309397,27.40128868367026,97848400
2017-01-11,27.62738800048828,27.668915668724587,27.362072440099055,27.394371542041842,110354400
2017-01-12,27.51202964782715,27.523565794095013,27.27209223883968,27.43128190445848,108344800
2017-01-13,27.46358299255371,27.59739455421782,27.41051918011142,27.479732542398075,104447600
2017-01-17,27.685062408447266,27.740432040416877,27.27440093101565,27.302084866916022,137759200
2017-01-18,27.682754516601562,27.800416523365154,27.61815632000001,27.685062097957,94852000
2017-01-19,27.634305953979492,27.70582513469806,27.53971624014224,27.546637224060962,102389200
2017-01-20,27.685062408447266,27.788880688411396,27.622771792502558,27.788880688411396,130391600
2017-01-23,27.703514099121094,27.87193054333992,27.631993171695417,27.685056972032626,88200800
2017-01-24,27.678146362304688,27.708137884936924,27.569712900233185,27.58124904902899,92844000
2017-01-25,28.118797302246094,28.169553536826044,27.74966345098608,27.781962552960767,129510400
2017-01-26,28.132631301879883,28.247985700512924,28.054189395521828,28.070338940923715,105350400
2017-01-27,28.134946823120117,28.22723072587861,28.054199068269828,28.178782072968435,82251600
2017-01-30,28.061115264892578,28.061115264892578,27.83732917111173,27.899619782747898,121510000
2017-01-31,27.996519088745117,28.00574765412798,27.828102610972287,27.95037802199968,196804000
2017-02-01,29.70376968383789,30.105204421061643,29.302336706783287,29.306950110123825,447940000
2017-02-02,29.653011322021484,29.851421094665223,29.4799796663556,29.526122497301248,134841600
2017-02-03,29.779897689819336,29.80527580320343,29.567645978033095,29.6022508961307,98029200
2017-02-06,30.059062957763672,30.107513378816527,29.738377707032736,29.79144329207602,107383600
2017-02-07,30.34513282775879,30.474329212282917,30.09596686317478,30.116729813472418,152735200
2017-02-08,30.462793350219727,30.504322771539314,30.27361393407212,30.30360720945085,92016400
2017-02-09,30.682918548583984,30.689869538724828,30.38169601194639,30.504501551901672,113399600
2017-02-10,30.61341094970703,30.80341414472541,30.597193148152336,30.692194745661524,80262000
2017-02-13,30.884510040283203,31.007319138529734,30.759388659029526,30.835853100307133,92141600
2017-02-14,31.285367965698242,31.301585766411893,30.8752418124428,30.92621810428701,132904800
2017-02-15,31.39889907836914,31.575000258332146,31.1926781194127,31.401218432168847,142492400
2017-02-16,31.36182975769043,31.489266940949232,31.243655847657074,31.43597483509916,90338400
2017-02-17,31.447568893432617,31.47305704360383,31.303910339159252,31.303910339159252,88792800
2017-02-21,31.674631118774414,31.686217280110185,31.507800295219432,31.565727566298243,98028800
2017-02-22,31.769643783569336,31.77195960240499,31.53793461835786,31.61207971271287,83347600
2017-02-23,31.635250091552734,31.855373077801605,31.58195797681062,31.832204284070755,83152800
2017-02-24,31.665372848510742,31.665372848510742,31.34561309455181,31.49159098842019,87106400
2017-02-27,31.72792625427246,31.846100161365428,31.57731674929561,31.776586722299044,81029600
2017-02-28,31.741832733154297,31.84610112711568,31.674635110298848,31.762685704826477,93931600
2017-03-01,32.39061737060547,32.47403279791158,31.883177351394018,31.95037144269028,145658400
2017-03-02,32.198299407958984,32.50415359395043,32.15195475758415,32.439275326146166,104844000
2017-03-03,32.3883056640625,32.399891829026096,32.11257120169423,32.156596507195204,84432400
2017-03-06,32.286346435546875,32.38598319104028,32.11488395747979,32.2932974259766,87000000
2017-03-07,32.32805252075195,32.434636719888175,32.15890234311395,32.22146478601568,69785200
2017-03-08,32.20756912231445,32.39293713373569,32.165863175935065,32.195982958675486,74828800
2017-03-09,32.1334114074707,32.15889954602118,31.755728036076924,32.14731692126166,88623600
2017-03-10,32.24000930786133,32.29098560105037,32.12415473890458,32.26549745445585,78451200
2017-03-13,32.25391387939453,32.30720599542405,32.165866804128626,32.17281779597591,69686800
2017-03-14,32.20524597167969,32.35817127585512,32.17048748867623,32.277075220046925,61236400
2017-03-15,32.545867919921875,32.613062016013366,32.214522005509565,32.302572611616505,102767200
2017-03-16,32.59915542602539,32.67561985700658,32.499518669680036,32.60610641651455,76928000
2017-03-17,32.43696594238281,32.67099091655735,32.4137936125987,32.67099091655735,175540000
2017-03-20,32.77756881713867,32.78683562490218,32.49256409610995,32.53195421640496,86168000
2017-03-21,32.402191162109375,33.088051473147324,32.37670302639784,32.92817167055676,158119600
2017-03-22,32.768310546875,32.81002003617831,32.38367247437293,32.40452898682526,103440800
2017-03-23,32.6524543762207,32.80538327023991,32.58062510237565,32.731234642011984,81385200
2017-03-24,32.58756637573242,32.84244778975115,32.5203722950912,32.786836335165205,89582400
2017-03-27,32.6431770324707,32.72195727284184,32.11951223748594,32.29792922293828,94300400
2017-03-28,33.31977081298828,33.37537873675065,32.582934002732934,32.65013162474638,133499200
2017-03-29,33.39390563964844,33.479640388466635,33.178417930012095,33.29195309657773,116760000
2017-03-30,33.34989547729492,33.48197138677412,33.25026224222897,33.41014211766127,84829200
2017-03-31,33.2873420715332,33.42868481455843,33.136728981253,33.30124405681412,78646800
2017-04-03,33.296600341796875,33.39391774940054,33.14599082575323,33.29891969581642,79942800
2017-04-04,33.544517517089844,33.572321469508644,33.17378165204269,33.19231879885498,79565600
2017-04-05,33.37074661254883,33.704408292649255,33.322086144367354,33.4170877268738,110871600
2017-04-06,33.2873420715332,33.48661211029661,33.23868158744845,33.43331645258437,84596000
2017-04-07,33.213199615478516,33.4078345168278,33.19698180816718,33.30356607221941,66688800
2017-04-10,33.17379379272461,33.338308821141986,33.11123134128695,33.27343055135499,75733600
2017-04-11,32.816959381103516,33.215499296723564,32.45317441456657,33.120497721762945,121517600
2017-04-12,32.856353759765625,32.93744983000208,32.67330157593939,32.81001264311614,81400000
2017-04-13,32.68256759643555,32.99074110800135,32.68256759643555,32.881837553703654,71291600
2017-04-17,32.863304138183594,32.874890301030234,32.64086183256975,32.782204533857595,66328400
2017-04-18,32.71732711791992,32.91196193065789,32.69647414561241,32.765987588904714,58790000
2017-04-19,32.596832275390625,32.90268996369041,32.54354017598083,32.87488600497227,69313600
2017-04-20,33.00464630126953,33.11586568446256,32.70805892235448,32.721960903303554,93278400
2017-04-21,32.96526336669922,33.0602614357712,32.86794594322956,33.00465349984638,69283600
2017-04-24,33.28269958496094,33.35452885019756,33.17611182855769,33.25026044789921,68537200
2017-04-25,33.48891830444336,33.57464954610383,33.33598943910263,33.34525978369327,75486000
2017-04-26,33.29197311401367,33.505148669846136,33.22246318885252,33.47502534520865,80164800
2017-04-27,33.31745147705078,33.403186252231365,33.20623209386567,33.34757479283859,56985200
2017-04-28,33.285011291503906,33.435624330084664,33.196964236413955,33.386963862703105,83441600
2017-05-01,33.96392059326172,34.10757910510044,33.58855297943781,33.62099211229172,134411600
2017-05-02,34.179420471191406,34.313812222231434,34.02417574212833,34.186371463865754,181408800
2017-05-03,34.075138092041016,34.17477483890903,33.42867128883735,33.73452544806916,182788000
2017-05-04,33.95234298706055,34.093685716314006,33.78551210874166,33.950027168273216,93487600
2017-05-05,34.51538848876953,34.520020125056426,34.00562564919355,34.00562564919355,109310800
2017-05-08,35.45381546020508,35.61369533801015,34.531614041197315,34.531614041197315,195009600
2017-05-09,35.680885314941406,35.88710627097497,35.555760421941116,35.6530778189412,156521600
2017-05-10,35.51173782348633,35.66930186078162,35.24527375449055,35.597472600561915,103222800
2017-05-11,35.8188591003418,35.846781379217376,35.43728775752317,35.469860791049356,109020400
2017-05-12,36.31908416748047,36.39353527768453,35.98637067289301,35.99335035353109,130108000
2017-05-15,36.22602081298828,36.447052347309615,36.0747896448195,36.29814655627475,104038800
2017-05-16,36.172508239746094,36.309780042834795,35.99800910186227,36.28186131683548,80194000
2017-05-17,34.95800018310547,35.96311710045027,34.83236234353471,35.737431224570386,203070800
2017-05-18,35.49079513549805,35.67692825249937,35.162739466373935,35.19531249558462,134272800
2017-05-19,35.61177444458008,35.825826239983805,35.511730001701515,35.68622909525606,107843200
2017-05-22,35.828163146972656,35.96543494576482,35.576883970261584,35.8304885240018,91865600
2017-05-23,35.783966064453125,36.03989606625981,35.6699586548897,36.03989606625981,79675600
2017-05-24,35.676918029785156,35.87003077269835,35.521032609644045,35.79325075080325,76712000
2017-05-25,35.800235748291016,35.91191773319801,35.60479759999392,35.76766272357484,76942400
2017-05-26,35.73975372314453,35.88633414933184,35.669953351141324,35.83049314169039,87710400
2017-05-30,35.75371170043945,35.930536225819196,35.67460627199543,35.695545317725745,80507600
2017-05-31,35.5419921875,35.870051502406525,35.453581682563986,35.82351909714627,97804800
2017-06-01,35.63970947265625,35.674611437454615,35.41635251880371,35.63738409508093,65616400
2017-06-02,36.1678581237793,36.1678581237793,35.57223489885721,35.73277469233274,111082800
2017-06-05,35.81420135498047,35.935188417966906,35.70485182808575,35.90959506906966,101326800
2017-06-06,35.935176849365234,36.251601992867215,35.779291429064,35.8072101460753,106499600
2017-06-07,36.14924621582031,36.291172346658946,35.94217401346834,36.067815401525955,84278400
2017-06-08,36.06082534790039,36.1887885264461,35.92355001151078,36.12131709685279,85003200
2017-06-09,34.66250228881836,36.1073564847244,33.973814454686796,36.1073564847244,259530800
2017-06-12,33.834224700927734,33.990110197301966,33.15716708145269,33.908679382882696,289229200
